T,1st win,2nd,1st + 2nd,win-rate
1,78,67,145,0.725
2,70,81,151,0.755
3,84,77,161,0.805
4,83,80,163,0.815
5,76,81,157,0.785
6,85,85,170,0.85
7,87,92,179,0.895
8,88,90,178,0.89
9,83,91,174,0.87
10,88,95,183,0.915
11,89,87,176,0.88
12,87,93,180,0.9
13,82,92,174,0.87
14,80,95,175,0.875
15,85,91,176,0.88
16,86,92,178,0.89
17,87,92,179,0.895
18,81,85,166,0.83
19,81,94,175,0.875
20,86,95,181,0.905
21,85,92,177,0.885
22,83,86,169,0.845
23,83,90,173,0.865
24,84,95,179,0.895
25,87,96,183,0.915
26,82,85,167,0.835
27,84,90,174,0.87
28,83,93,176,0.88
29,74,93,167,0.835
30,82,96,178,0.89
31,81,92,173,0.865
32,84,96,180,0.9
33,86,89,175,0.875
34,87,93,180,0.9
35,85,95,180,0.9
36,75,94,169,0.845
37,81,94,175,0.875
38,80,93,173,0.865
39,86,89,175,0.875
40,85,89,174,0.87
41,86,94,180,0.9
42,83,94,177,0.885
43,84,96,180,0.9
44,85,93,178,0.89
45,84,90,174,0.87
46,86,92,178,0.89
47,83,90,173,0.865
48,92,93,185,0.925
49,87,89,176,0.88
50,85,91,176,0.88
51,92,86,178,0.89
52,89,91,180,0.9
53,88,91,179,0.895
54,95,89,184,0.92
55,89,83,172,0.86
56,88,87,175,0.875
57,87,90,177,0.885
58,89,86,175,0.875
59,91,88,179,0.895
60,90,96,186,0.93
61,93,87,180,0.9
62,91,90,181,0.905
63,88,91,179,0.895
64,92,93,185,0.925
65,92,83,175,0.875
66,91,94,185,0.925
67,92,91,183,0.915
68,90,85,175,0.875
69,91,91,182,0.91
70,92,94,186,0.93
71,87,87,174,0.87
72,86,86,172,0.86
73,83,88,171,0.855
74,86,80,166,0.83
75,91,88,179,0.895
76,92,91,183,0.915
77,83,90,173,0.865
78,89,92,181,0.905
79,81,91,172,0.86
80,85,92,177,0.885
81,80,90,170,0.85
82,81,91,172,0.86
83,81,89,170,0.85
84,89,90,179,0.895
85,81,92,173,0.865
86,87,94,181,0.905
87,85,90,175,0.875
88,80,94,174,0.87
89,81,89,170,0.85
90,83,89,172,0.86
91,87,88,175,0.875
92,83,94,177,0.885
93,89,91,180,0.9
94,87,92,179,0.895
95,86,89,175,0.875
96,82,92,174,0.87
97,78,89,167,0.835
98,80,96,176,0.88
99,88,93,181,0.905
100,87,92,179,0.895
