T = 1, order = 1, rand = 3054
	win -> 72, lose -> 4, draw -> 24
T = 1, order = 2, rand = 3054
	win -> 69, lose -> 4, draw -> 27
T = 2, order = 1, rand = 3054
	win -> 69, lose -> 7, draw -> 24
T = 2, order = 2, rand = 3054
	win -> 62, lose -> 6, draw -> 32
T = 3, order = 1, rand = 3054
	win -> 78, lose -> 6, draw -> 16
T = 3, order = 2, rand = 3054
	win -> 74, lose -> 4, draw -> 22
T = 4, order = 1, rand = 3054
	win -> 86, lose -> 4, draw -> 10
T = 4, order = 2, rand = 3054
	win -> 73, lose -> 8, draw -> 19
T = 5, order = 1, rand = 3054
	win -> 82, lose -> 5, draw -> 13
T = 5, order = 2, rand = 3054
	win -> 76, lose -> 9, draw -> 15
T = 6, order = 1, rand = 3054
	win -> 80, lose -> 13, draw -> 7
T = 6, order = 2, rand = 3054
	win -> 72, lose -> 18, draw -> 10
T = 7, order = 1, rand = 3054
	win -> 88, lose -> 9, draw -> 3
T = 7, order = 2, rand = 3054
	win -> 82, lose -> 13, draw -> 5
T = 8, order = 1, rand = 3054
	win -> 85, lose -> 10, draw -> 5
T = 8, order = 2, rand = 3054
	win -> 89, lose -> 6, draw -> 5
T = 9, order = 1, rand = 3054
	win -> 85, lose -> 12, draw -> 3
T = 9, order = 2, rand = 3054
	win -> 84, lose -> 11, draw -> 5
T = 10, order = 1, rand = 3054
	win -> 88, lose -> 10, draw -> 2
T = 10, order = 2, rand = 3054
	win -> 92, lose -> 5, draw -> 3
T = 11, order = 1, rand = 3054
	win -> 89, lose -> 6, draw -> 5
T = 11, order = 2, rand = 3054
T = 12, order = 1, rand = 3054
	win -> 85, lose -> 10, draw -> 5
T = 12, order = 2, rand = 3054
	win -> 87, lose -> 9, draw -> 4
T = 13, order = 1, rand = 3054
	win -> 85, lose -> 7, draw -> 8
T = 13, order = 2, rand = 3054
	win -> 86, lose -> 9, draw -> 5
T = 14, order = 1, rand = 3054
	win -> 81, lose -> 15, draw -> 4
T = 14, order = 2, rand = 3054
	win -> 93, lose -> 7, draw -> 0
T = 15, order = 1, rand = 3054
	win -> 87, lose -> 11, draw -> 2
T = 15, order = 2, rand = 3054
	win -> 91, lose -> 6, draw -> 3
T = 16, order = 1, rand = 3054
	win -> 89, lose -> 8, draw -> 3
T = 16, order = 2, rand = 3054
	win -> 91, lose -> 7, draw -> 2
T = 17, order = 1, rand = 3054
	win -> 90, lose -> 9, draw -> 1
T = 17, order = 2, rand = 3054
	win -> 91, lose -> 8, draw -> 1
T = 18, order = 1, rand = 3054
	win -> 84, lose -> 11, draw -> 5
T = 18, order = 2, rand = 3054
	win -> 90, lose -> 6, draw -> 4
T = 19, order = 1, rand = 3054
	win -> 80, lose -> 17, draw -> 3
T = 19, order = 2, rand = 3054
	win -> 92, lose -> 5, draw -> 3
T = 20, order = 1, rand = 3054
	win -> 84, lose -> 14, draw -> 2
T = 20, order = 2, rand = 3054
	win -> 92, lose -> 6, draw -> 2
T = 21, order = 1, rand = 3054
	win -> 85, lose -> 14, draw -> 1
T = 21, order = 2, rand = 3054
	win -> 94, lose -> 4, draw -> 2
T = 22, order = 1, rand = 3054
	win -> 80, lose -> 17, draw -> 3
T = 22, order = 2, rand = 3054
	win -> 92, lose -> 6, draw -> 2
T = 23, order = 1, rand = 3054
	win -> 82, lose -> 12, draw -> 6
T = 23, order = 2, rand = 3054
	win -> 88, lose -> 11, draw -> 1
T = 24, order = 1, rand = 3054
	win -> 81, lose -> 13, draw -> 6
T = 24, order = 2, rand = 3054
	win -> 92, lose -> 6, draw -> 2
T = 25, order = 1, rand = 3054
	win -> 84, lose -> 15, draw -> 1
T = 25, order = 2, rand = 3054
	win -> 94, lose -> 5, draw -> 1
T = 26, order = 1, rand = 3054
	win -> 79, lose -> 18, draw -> 3
T = 26, order = 2, rand = 3054
	win -> 96, lose -> 4, draw -> 0
T = 27, order = 1, rand = 3054
	win -> 84, lose -> 13, draw -> 3
T = 27, order = 2, rand = 3054
	win -> 91, lose -> 6, draw -> 3
