T, 1stwin, 2ndwin
1, 69, 74
2, 73, 62
3, 79, 69
4, 78, 83
5, 79, 80
6, 90, 81
7, 89, 91
8, 85, 89
9, 86, 87
10, 86, 87
11, 88, 87
12, 85, 90
13, 86, 93
14, 86, 88
15, 86, 90
16, 93, 89
17, 86, 86
18, 91, 93
19, 80, 91
20, 77, 89
21, 84, 91
22, 78, 17
23, 81, 92
24, 81, 85
25, 75, 90
26, 79, 94
27, 84, 93
28, 84, 93
29, 77, 92
30, 84, 90
31, 85, 96
32, 82, 88
33, 75, 91
34, 80, 97
35, 82, 90
36, 90, 87
37, 83, 92
38, 74, 93
39, 87, 91
40, 81, 89
41, 89, 93
42, 90, 93
43, 82, 91
44, 93, 92
45, 94, 95
46, 85, 82
47, 85, 91
48, 86, 87
49, 86, 94
50, 88, 92
51, 87, 91
52, 83, 93
53, 89, 87
54, 91, 92
55, 87, 92
56, 87, 92
57, 86, 87
58, 88, 90
59, 95, 84
60, 89, 88
61, 94, 81
62, 93, 87
63, 93, 85
64, 91, 84
65, 91, 81
66, 92, 92
67, 93, 86
68, 92, 96
69, 96, 88
70, 95, 84
71, 94, 85
72, 86, 91
73, 90, 93
74, 94, 88
75, 90, 90
76, 93, 87
77, 86, 88
78, 96, 87
79, 94, 89
80, 86, 88
81, 90, 88
82, 90, 88
83, 89, 93
84, 88, 89
85, 86, 88
86, 91, 90
87, 92, 89
88, 93, 92
89, 89, 91
90, 86, 91
91, 86, 92
92, 87, 92
93, 86, 92
94, 91, 91
95, 84, 93
96, 84, 93
97, 91, 94
98, 88, 90
99, 89, 91
100, 92, 94
